,IYEAR,OPERATOR_ID,NAME,LOCAL_DATETIME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,COMMODITY_SUBTYPE,COMMODITY_DETAILS,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATAL,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,SHUTDOWN_EXPLAIN,SHUTDOWN_DATETIME,RESTART_DATETIME,NUM_PUB_EVACUATED,INCIDENT_IDENTIFIED_DATETIME,LOCATION_TYPE,INCIDENT_AREA_TYPE,INSTALLATION_YEAR,MATERIAL_INVOLVED,RELEASE_TYPE,PUNCTURE_AXIAL,PUNCTURE_CIRCUM,LEAK_TYPE,LEAK_TYPE_OTHER,WILDLIFE_IMPACT_IND,SOIL_CONTAMINATION,LONG_TERM_ASSESSMENT,REMEDIATION_IND,SOIL_REMED_IND,WATER_CONTAM_IND,OTHER_POP_IND,OTHER_POP_YES_NO,USA_DRINKING_IND,USA_DRINKING_YES_NO,EST_COST_GAS_RELEASED,EST_COST_PROP_DAMAGE,EST_COST_EMERGENCY,EST_COST_ENVIRONMENTAL,EST_COST_OTHER,PART_C_QUESTION_2_IND,CAUSE,CAUSE_DETAILS,net_spill
4140,2010,31166,MUSTANG PIPE LINE PARTNERS,12/31/10 12:25,41.6136,-88.0536,CRUDE OIL,,,5.0,0.0,5.0,,,NO,THIS SEGMENT WAS NOT IN OPERATION AT THE TIME OF THE INCIDENT.,,,0.0,12/31/10 12:25,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,2009.0,CARBON STEEL,LEAK,,,OTHER,VALVE BODY GASKET,NO,YES,NO,NO,,NO,,,,,350.0,15000.0,0.0,35000.0,200000.0,NO,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.0
4141,2010,300,"PLAINS PIPELINE, L.P.",12/31/10 9:00,32.00836,-102.0054,CRUDE OIL,,,125.0,,125.0,,,NO,ISOLATED FROM MAINLINE,,,,,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,,CARBON STEEL,LEAK,,,SEAL OR PACKING,,NO,YES,NO,YES,YES,NO,,,,,2250.0,3500.0,8400.0,30000.0,0.0,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,
4142,2010,31816,"MID-CONTINENT FRACTIONATION AND STORAGE, L.L.C.",12/31/10 7:55,38.38166,-97.819444,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,OTHER HVL,NATURAL GASOLINE,4.5,4.5,0.0,,,NO,VALVE WAS OPENED,,,0.0,12/31/10 7:55,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,,,OTHER,,,,,,,,,,NO,,,,,387.0,0.0,0.0,0.0,0.0,NO,INCORRECT OPERATION,PIPELINE OR EQUIPMENT OVERPRESSURED,9.0
4143,2010,12105,"MAGELLAN AMMONIA PIPELINE, L.P.",12/30/10 8:40,43.05284,-93.6389,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,ANHYDROUS AMMONIA,,8.57,0.0,0.0,,,YES,,12/30/10 9:02,1/1/11 17:00,,12/30/10 8:48,PIPELINE RIGHT-OF-WAY,UNDERGROUND,1968.0,CARBON STEEL,LEAK,,,PINHOLE,,NO,YES,NO,NO,,NO,,,YES,YES,660.0,11355.0,12500.0,40000.0,0.0,YES,CORROSION FAILURE,EXTERNAL CORROSION,8.57
4144,2010,31610,BP WEST COAST PRODUCTS L.L.C.,12/28/10 17:30,33.863333,-118.163889,CRUDE OIL,,,30.0,0.0,2.0,,,YES,,12/28/10 19:05,4/18/11 12:00,0.0,12/28/10 19:05,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,1935.0,CARBON STEEL,LEAK,,,PINHOLE,,NO,YES,NO,YES,YES,NO,,,,,2700.0,123000.0,33000.0,702000.0,0.0,NO,CORROSION FAILURE,INTERNAL CORROSION,28.0
4145,2010,14194,"OILTANKING, HOUSTON LP",12/28/10 9:00,29.76713,-95.156254,CRUDE OIL,,,0.48,0.0,0.0,,,NO,"NO , PIPELINE WAS DOWN @ DISCOVERY & STAYED DOWN UNTIL REPAIR WAS MADE",,,0.0,12/28/10 9:10,PIPELINE RIGHT-OF-WAY,UNDERGROUND,,,LEAK,,,PINHOLE,,,,,,,NO,YES,NO,,,50.0,11000.0,1000.0,5000.0,500.0,YES,CORROSION FAILURE,EXTERNAL CORROSION,0.48
4146,2010,32109,ONEOK NGL PIPELINE LP,12/24/10 14:10,33.45494,-96.35925,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),,7.0,35.0,0.0,,,YES,,12/24/10 14:26,12/27/10 17:50,0.0,12/24/10 14:10,PIPELINE RIGHT-OF-WAY,UNDERGROUND,1981.0,CARBON STEEL,LEAK,,,PINHOLE,,NO,NO,NO,NO,,NO,,,YES,YES,355.0,115000.0,10000.0,0.0,0.0,YES,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED",42.0
4147,2010,10012,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,12/21/10 12:00,40.55081,-97.59588,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"DIESEL, FUEL OIL, KEROSENE, JET FUEL",,1.78,0.0,1.78,,,YES,,12/21/10 12:15,12/23/10 16:15,0.0,12/21/10 12:00,PIPELINE RIGHT-OF-WAY,UNDERGROUND,,,LEAK,,,PINHOLE,,,,,,,NO,,,,,62.0,4200.0,22000.0,2000.0,0.0,YES,CORROSION FAILURE,EXTERNAL CORROSION,0.0
4148,2010,31627,"DENBURY ONSHORE, LLC",12/20/10 16:30,30.4342,-92.9503,CO2 (CARBON DIOXIDE),,,0.29,70191.0,0.0,,,YES,,12/21/10 6:30,12/24/10 19:30,0.0,12/20/10 16:30,PIPELINE RIGHT-OF-WAY,UNDERGROUND,2009.0,CARBON STEEL,LEAK,,,OTHER,PENETRATOR,NO,NO,NO,NO,,NO,,,,,140703.0,58283.0,2659.0,0.0,0.0,YES,MATERIAL FAILURE OF PIPE OR WELD,ORIGINAL MANUFACTURING-RELATED (NOT GIRTH WELD OR OTHER WELDS FORMED IN THE FIELD),70191.29
4149,2010,4906,EXXONMOBIL PIPELINE CO,12/17/10 9:14,29.349,-94.939333,CRUDE OIL,,,0.67,0.0,0.67,,,YES,,12/17/10 12:50,12/17/10 18:00,0.0,12/17/10 12:50,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,,,LEAK,,,SEAL OR PACKING,,,,,,,NO,YES,YES,YES,YES,55.0,0.0,1000.0,3000.0,0.0,YES,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,0.0
4150,2010,26094,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,12/16/10 17:00,40.606837,-74.219917,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"DIESEL, FUEL OIL, KEROSENE, JET FUEL",,27.29,0.0,27.29,,,NO,LEAK WAS DISCOVERED AFTER TANK WAS ALREADY OUT OF SERVICE FOR SCHEDULED CLEANING,,,0.0,12/16/10 17:00,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,"TANK, INCLUDING ATTACHED APPURTENANCES",1994.0,CARBON STEEL,LEAK,,,PINHOLE,,NO,NO,NO,NO,,NO,,,,,2292.0,12000.0,0.0,6450.0,0.0,NO,CORROSION FAILURE,INTERNAL CORROSION,0.0
