,IYEAR,OPERATOR_ID,NAME,LOCAL_DATETIME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,COMMODITY_SUBTYPE,COMMODITY_DETAILS,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATAL,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,SHUTDOWN_EXPLAIN,SHUTDOWN_DATETIME,RESTART_DATETIME,NUM_PUB_EVACUATED,INCIDENT_IDENTIFIED_DATETIME,LOCATION_TYPE,INCIDENT_AREA_TYPE,INSTALLATION_YEAR,MATERIAL_INVOLVED,RELEASE_TYPE,PUNCTURE_AXIAL,PUNCTURE_CIRCUM,LEAK_TYPE,LEAK_TYPE_OTHER,WILDLIFE_IMPACT_IND,SOIL_CONTAMINATION,LONG_TERM_ASSESSMENT,REMEDIATION_IND,SOIL_REMED_IND,WATER_CONTAM_IND,OTHER_POP_IND,OTHER_POP_YES_NO,USA_DRINKING_IND,USA_DRINKING_YES_NO,EST_COST_GAS_RELEASED,EST_COST_PROP_DAMAGE,EST_COST_EMERGENCY,EST_COST_ENVIRONMENTAL,EST_COST_OTHER,PART_C_QUESTION_2_IND,CAUSE,CAUSE_DETAILS,net_spill
2575,2014,31618,ENTERPRISE PRODUCTS OPERATING LLC,12/30/14 16:06,27.79952,-97.5645,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,OTHER HVL,ETHANE,181.0,0.0,0.0,,,YES,,12/30/14 16:11,12/30/14 21:45,0.0,12/30/14 16:06,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,,MATERIAL OTHER THAN CARBON STEEL,LEAK,,,OTHER,SEE NARRATIVE,NO,NO,NO,NO,,NO,,,,,7600.0,2800.0,1000.0,0.0,0.0,YES,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,181.0
2576,2014,4906,EXXONMOBIL PIPELINE CO,12/30/14 12:00,29.615889,-96.344667,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),,9.0,,9.0,,,NO,RELEASE WAS DISCOVERED DURING A HYDROTEST.  PIPELINE WAS ALREADY DOWN.,,,0.0,12/30/14 12:00,PIPELINE RIGHT-OF-WAY,UNDERGROUND,1962.0,CARBON STEEL,LEAK,,,CRACK,,NO,YES,NO,YES,YES,NO,,,,,1000.0,26000.0,0.0,52000.0,0.0,YES,MATERIAL FAILURE OF PIPE OR WELD,ORIGINAL MANUFACTURING-RELATED (NOT GIRTH WELD OR OTHER WELDS FORMED IN THE FIELD),
2577,2014,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",12/27/14 3:40,40.52243,-74.25384,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GASOLINE (NON-ETHANOL),,100.0,,99.0,,,NO,LINE WAS NOT OPERATING AT TIME OF LEAK,,,0.0,12/27/14 3:40,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,"TANK, INCLUDING ATTACHED APPURTENANCES",1955.0,CARBON STEEL,LEAK,,,SEAL OR PACKING,,NO,NO,NO,NO,,NO,YES,YES,,,0.0,0.0,50000.0,9000.0,10000.0,NO,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,
2578,2014,32147,MARATHON PIPE LINE LLC,12/25/14 8:57,39.6854,-87.23644,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GASOLINE (NON-ETHANOL),,9.4,,0.6,,,YES,,12/25/14 8:57,12/25/14 22:25,2.0,12/25/14 9:30,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,1999.0,MATERIAL OTHER THAN CARBON STEEL,LEAK,,,CONNECTION FAILURE,,NO,YES,NO,NO,,NO,,,,,500.0,280000.0,88000.0,0.0,0.0,NO,EQUIPMENT FAILURE,DEFECTIVE OR LOOSE TUBING OR FITTING,
2579,2014,30826,WILLIAMS FIELD SERVICES,12/24/14 21:49,40.262706,-80.264106,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,OTHER HVL,ETHANE,1924.0,800.0,0.0,,,YES,,12/24/14 21:49,2/5/15 10:50,13.0,12/24/14 21:49,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,2014.0,MATERIAL OTHER THAN CARBON STEEL,RUPTURE,,,,,NO,NO,NO,NO,,NO,,,,,21509.0,1000000.0,10000.0,0.0,0.0,NO,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,2724.0
2580,2014,32147,MARATHON PIPE LINE LLC,12/23/14 20:30,30.016724,-90.853104,CRUDE OIL,,,0.0,,0.0,,,YES,,12/23/14 20:52,12/24/14 0:49,0.0,12/23/14 20:45,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,"TANK, INCLUDING ATTACHED APPURTENANCES",1974.0,CARBON STEEL,OTHER,,,,,NO,NO,NO,NO,,NO,YES,YES,YES,YES,0.0,30000.0,0.0,0.0,0.0,NO,NATURAL FORCE DAMAGE,LIGHTNING,
2581,2014,31580,"MAGELLAN TERMINALS HOLDINGS, LP",12/22/14 21:30,35.92612,-96.7459,CRUDE OIL,,,6.0,,6.0,,,YES,,12/22/14 21:30,12/23/14 17:30,0.0,12/22/14 21:30,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,2014.0,CARBON STEEL,LEAK,,,CONNECTION FAILURE,,NO,YES,NO,NO,,NO,,,,,300.0,1000.0,10000.0,0.0,0.0,NO,INCORRECT OPERATION,EQUIPMENT NOT INSTALLED PROPERLY,
2582,2014,22610,"MAGELLAN PIPELINE COMPANY, LP",12/21/14 4:00,39.84541,-104.91319,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),,0.47,,0.47,,,NO,SUMP PUMPED DOWN IMMEDIATELY.  FACILITY 100% FUNCTIONAL. PL NOT INVOLVED,,,0.0,12/21/14 4:00,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,,CARBON STEEL,OVERFILL OR OVERFLOW,,,,,NO,YES,NO,NO,,NO,,,YES,YES,25.0,0.0,1000.0,5000.0,0.0,NO,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,
2583,2014,32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",12/18/14 14:15,32.782428,-103.960045,CRUDE OIL,,,0.5,,0.0,,,NO,THE PIPELINE WAS NOT RUNNING AT THE TIME OF THE INCIDENT.,,,0.0,12/18/14 14:15,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,2009.0,MATERIAL OTHER THAN CARBON STEEL,OVERFILL OR OVERFLOW,,,,,NO,YES,NO,YES,YES,NO,,,,,40.0,0.0,0.0,50100.0,0.0,NO,OTHER INCIDENT CAUSE,MISCELLANEOUS,
2584,2014,22855,"KOCH PIPELINE COMPANY, L.P.",12/18/14 10:58,47.303798,-95.187438,CRUDE OIL,,,20.0,,18.9,,,YES,,12/18/14 11:12,12/20/14 21:37,0.0,12/18/14 10:58,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,1989.0,CARBON STEEL,LEAK,,,PINHOLE,,NO,YES,YES,YES,YES,NO,,,,,1129.0,590464.0,291448.0,1441.0,0.0,NO,CORROSION FAILURE,INTERNAL CORROSION,
