,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill,incident_count
1698,2016,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",32.8618,-102.91921,CRUDE OIL,3.0,0.0,2.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,32.860606,-102.919709,0.99,rooftop,1724,County Rd 218E,,,Seminole,TX,Gaines County,79360,US,Statewide Partial,1.0,1
1699,2016,PHILLIPS 66 PIPELINE LLC,33.655692,-98.624766,CRUDE OIL,202.0,0.0,202.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,33.655692,-98.624766,0.08,nearest_place,,,,,Holliday,TX,Archer County,76366,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
1700,2016,ENTERPRISE CRUDE PIPELINE LLC,29.614125,-95.184793,CRUDE OIL,3.0,0.0,3.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,29.615362,-95.18431,0.99,rooftop,6849,E Sam Houston S Pkwy,,,Houston,TX,Harris County,77034,US,City of Houston,0.0,1
1706,2016,"MEDALLION OPERATING COMPANY, LLC",31.36115,-101.51412,CRUDE OIL,5.0,0.0,1.0,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,31.360152,-101.513905,0.99,rooftop,9338,N State Highway 137,,,Big Lake,TX,Reagan County,76932,US,Reagan,4.0,1
1707,2016,"MEDALLION OPERATING COMPANY, LLC",31.36115,-101.51412,CRUDE OIL,25.0,0.0,5.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,31.360152,-101.513905,0.99,rooftop,9338,N State Highway 137,,,Big Lake,TX,Reagan County,76932,US,Reagan,20.0,1
1708,2016,PHILLIPS 66 PIPELINE LLC,31.95023,-102.604223,CRUDE OIL,0.22,0.0,0.22,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,31.95023,-102.604223,0.22,nearest_place,,,,,Goldsmith,TX,Ector County,79741,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
1711,2016,ENTERPRISE CRUDE PIPELINE LLC,33.155227,-98.103002,CRUDE OIL,2.0,0.0,2.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,33.157448,-98.098508,0.97,nearest_street,,US 281,,,Jacksboro,TX,Jack County,76458,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
1712,2016,CENTURION PIPELINE L.P.,31.91401,-100.86996,CRUDE OIL,60.0,0.0,25.0,NO,,NO,,NO,CARBON STEEL,OTHER,,31.909842,-100.858725,0.92,nearest_street,259,State Hwy 158 E,,,Sterling City,TX,Sterling County,76951,US,TIGER/Line® dataset from the US Census Bureau,35.0,1
1714,2016,"ONEOK NGL PIPELINE, LLC",29.841234,-94.892437,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,4.16,8.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,29.841298,-94.892255,1.0,rooftop,301,Loop,,,Mont Belvieu,TX,Chambers County,77523,US,Chambers,12.16,1
1715,2016,"ONEOK NGL PIPELINE, LLC",29.854105,-94.89228,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,2.1,11.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,29.853341,-94.89193,0.99,rooftop,1303,E Winfree Ave,,,Mont Belvieu,TX,Chambers County,77523,US,Chambers,13.1,1
