,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill,incident_count
2575,2014,ENTERPRISE PRODUCTS OPERATING LLC,27.79952,-97.5645,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,181.0,0.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,OTHER,27.800463,-97.564591,0.99,rooftop,802,Mc Kinzie Rd,,,Corpus Christi,TX,Nueces County,78410,US,Nueces,181.0,1
2576,2014,EXXONMOBIL PIPELINE CO,29.615889,-96.344667,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,9.0,0.0,9.0,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,29.606178,-96.342755,0.92,nearest_street,942,Clipson Rd,,,Eagle Lake,TX,Colorado County,77434,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2587,2014,EXXONMOBIL PIPELINE CO,29.579031,-96.076544,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.36,0.0,0.36,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,29.580222,-96.077307,0.99,rooftop,15333,County Rd 268th Rd,,,East Bernard,TX,Wharton County,77435,US,Statewide Partial,0.0,1
2592,2014,"PLAINS PIPELINE, L.P.",28.526987,-99.223782,CRUDE OIL,1.0,0.0,1.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,28.518631,-99.215566,0.92,nearest_street,,I 35,,,Cotulla,TX,La Salle County,78014,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2599,2014,ENTERPRISE CRUDE PIPELINE LLC,32.000452,-102.26999,CRUDE OIL,35.0,0.0,35.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,32.001773,-102.270138,0.99,rooftop,11801,W County Rd 58,,,Midland,TX,Midland County,79707,US,Midland,0.0,1
2601,2014,CENTURION PIPELINE L.P.,32.15603,-102.16955,CRUDE OIL,20.0,0.0,1.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,32.15603,-102.16955,0.05,nearest_place,,,,,Midland,TX,Martin County,79705,US,TIGER/Line® dataset from the US Census Bureau,19.0,1
2603,2014,ENTERPRISE PRODUCTS OPERATING LLC,29.76621,-95.012446,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.24,0.0,0.24,NO,,NO,,YES,,LEAK,OTHER,29.766044,-95.011795,1.0,rooftop,4227,Decker Dr,,,Baytown,TX,Harris County,77520,US,City of Houston,0.0,1
2604,2014,KINDER MORGAN CO2 CO. LP,31.1158,-102.2931,CO2 (CARBON DIOXIDE),31.8,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,31.116,-102.293361,1.0,rooftop,448,County Rd 312,,,Mc Camey,TX,Upton County,79752,US,Upton,31.8,1
2605,2014,PHILLIPS 66 PIPELINE LLC,29.717845,-95.178373,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.55,0.0,0.55,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,29.718772,-95.179564,0.99,rooftop,302,Jefferson,,,Pasadena,TX,Harris County,77506,US,City of Houston,0.0,1
2611,2014,"PLAINS PIPELINE, L.P.",32.99344,-102.78992,CRUDE OIL,50.0,0.0,50.0,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,32.99344,-102.78992,0.14,nearest_place,,,,,Denver City,TX,Yoakum County,79323,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2612,2014,ENTERPRISE CRUDE PIPELINE LLC,29.760156,-96.148478,CRUDE OIL,0.4,0.0,0.4,NO,,NO,,NO,CARBON STEEL,OTHER,,29.759692,-96.149192,0.99,rooftop,2361,W Front St,,,Sealy,TX,Austin County,77474,US,Austin,0.0,1
2619,2014,SUNOCO PIPELINE L.P.,32.53403,-94.84332,CRUDE OIL,1.5,0.0,1.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,32.533277,-94.844809,0.99,rooftop,102 1/2,N Whatley Rd,,,White Oak,TX,Gregg County,75693,US,Gregg,0.5,1
2621,2014,KINDER MORGAN CRUDE AND CONDENSATE LLC,29.066613,-97.368731,CRUDE OIL,0.63,0.0,0.63,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,29.066948,-97.370027,0.99,rooftop,343,Bell Rd,,,Cuero,TX,Dewitt County,77954,US,Dewitt,0.0,1
2627,2014,EXPLORER PIPELINE CO,30.878502,-96.542335,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,20.0,0.0,20.0,NO,,NO,,YES,CARBON STEEL,OTHER,,30.886561,-96.542127,0.93,nearest_street,9999,Farm To Market Rd 391,,,Hearne,TX,Robertson County,77859,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2628,2014,ENTERPRISE CRUDE PIPELINE LLC,32.02424,-102.013347,CRUDE OIL,0.3,0.0,0.3,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,32.027201,-102.013824,0.95,nearest_street,4857,I-20e Bus,,,Midland,TX,Midland County,79706,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2634,2014,"PLAINS PIPELINE, L.P.",28.33034,-99.70332,CRUDE OIL,790.0,0.0,790.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,28.329497,-99.702726,0.99,rooftop,4634,Farm To Market Rd 2688,,,Catarina,TX,Dimmit County,78836,US,Dimmit,0.0,1
2636,2014,SUNOCO PIPELINE L.P.,32.11457,-94.96274,CRUDE OIL,4.0,0.0,4.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,32.11448,-94.962349,1.0,rooftop,5420,S County Rd 476,,,Henderson,TX,Rusk County,75654,US,Rusk,0.0,1
2638,2014,ENTERPRISE CRUDE PIPELINE LLC,33.057483,-98.67571,CRUDE OIL,1.0,0.0,1.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,33.065485,-98.677611,0.92,nearest_street,100,Place Ln,,,Graham,TX,Young County,76450,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2643,2014,KINDER MORGAN CO2 CO. LP,32.75828,-100.96146,CO2 (CARBON DIOXIDE),90.0,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,32.757642,-100.961236,1.0,rooftop,1188,N Farm To Market,,,Snyder,TX,Scurry County,79549,US,Scurry,90.0,1
2644,2014,PHILLIPS 66 PIPELINE LLC,36.472798,-102.268817,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.17,3.3,0.0,NO,,NO,,NO,,LEAK,SEAL OR PACKING,36.472707,-102.26853,1.0,rooftop,4455,K O Ln,,,Kerrick,TX,Dallam County,79051,US,Dallam,3.4699999999999998,1
2649,2014,COLONIAL PIPELINE CO,30.05012,-93.7743,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.25,0.0,0.25,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,30.050249,-93.774471,1.0,rooftop,4930,Foreman Cutoff,,,Orange,TX,Orange County,77630,US,Orange,0.0,1
2650,2014,ENTERPRISE CRUDE PIPELINE LLC,31.656494,-102.24815,CRUDE OIL,4.0,0.0,4.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,31.659756,-102.259376,0.92,nearest_street,17221,W FM 1787,,,Odessa,TX,Midland County,79766,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2652,2014,SUNOCO PIPELINE L.P.,30.18148,-94.42918,CRUDE OIL,15.0,0.0,12.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,30.181497,-94.426256,0.96,nearest_street,4195,Black Cat Rd,,,Sour Lake,TX,Hardin County,77659,US,TIGER/Line® dataset from the US Census Bureau,3.0,1
2656,2014,KINDER MORGAN CRUDE AND CONDENSATE LLC,29.066379,-97.369206,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.48,0.0,0.48,NO,,NO,,YES,,LEAK,SEAL OR PACKING,29.066948,-97.370027,0.99,rooftop,343,Bell Rd,,,Cuero,TX,Dewitt County,77954,US,Dewitt,0.0,1
2657,2014,ENTERPRISE CRUDE PIPELINE LLC,32.02424,-102.013347,CRUDE OIL,3.0,0.0,3.0,NO,,NO,,NO,,LEAK,SEAL OR PACKING,32.027201,-102.013824,0.95,nearest_street,4857,I-20e Bus,,,Midland,TX,Midland County,79706,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2658,2014,CHEVRON PETROCHEMICAL PIPELINE LLC,30.0503,-93.721048,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,6.0,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,30.0503,-93.721048,0.16,nearest_place,,,,,West Orange,TX,,77630,US,TIGER/Line® dataset from the US Census Bureau,6.0,1
2663,2014,ENTERPRISE PRODUCTS OPERATING LLC,30.19156,-95.35386,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.1,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,30.191742,-95.353677,1.0,rooftop,14650,Pinewood Village Dr,,,Conroe,TX,Montgomery County,77302,US,Montgomery,0.1,1
2665,2014,PHILLIPS 66 PIPELINE LLC,31.950527,-102.603994,CRUDE OIL,0.44,0.0,0.25,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,31.950527,-102.603994,0.22,nearest_place,,,,,Goldsmith,TX,Ector County,79741,US,TIGER/Line® dataset from the US Census Bureau,0.19,1
2666,2014,DCP MIDSTREAM,29.08966,-96.62664,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,34.6,0.0,0.0,NO,,NO,,NO,CARBON STEEL,OTHER,,29.089714,-96.626543,1.0,rooftop,6590,Farm To Market Rd 530,,,Edna,TX,Jackson County,77957,US,Jackson,34.6,1
2667,2014,"KINDER MORGAN LIQUID TERMINALS, LLC",29.72979,-95.22212,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.38,0.0,2.38,NO,,NO,,NO,,OTHER,,29.732605,-95.221556,0.96,nearest_street,573,Clinton Dr,,,Galena Park,TX,Harris County,77547,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2668,2014,"KOCH PIPELINE COMPANY, L.P.",27.770422,-97.54975,CRUDE OIL,6.5,0.0,6.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,27.769709,-97.544615,0.94,nearest_street,900,Gaviota St,,,Corpus Christi,TX,Nueces County,78406,US,TIGER/Line® dataset from the US Census Bureau,0.5,1
2671,2014,"KOCH PIPELINE COMPANY, L.P.",27.783128,-97.825896,CRUDE OIL,1.0,0.0,1.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,27.783159,-97.831723,0.94,nearest_street,3945,County Rd 91,,,Agua Dulce,TX,Nueces County,78330,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2672,2014,ENTERPRISE CRUDE PIPELINE LLC,33.29701,-97.956493,CRUDE OIL,10.0,0.0,10.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,33.29701,-97.956493,0.18,nearest_place,,,,,Cundiff,TX,Jack County,76056,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2679,2014,ENTERPRISE CRUDE PIPELINE LLC,33.29701,-97.956493,CRUDE OIL,128.0,0.0,128.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,33.29701,-97.956493,0.18,nearest_place,,,,,Cundiff,TX,Jack County,76056,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2680,2014,"PLAINS PIPELINE, L.P.",32.56757,-100.96222,CRUDE OIL,1.0,0.0,1.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,32.568806,-100.967939,0.94,nearest_street,11724,Farm To Market Rd 2835,,,Snyder,TX,Scurry County,79549,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2685,2014,EXXONMOBIL PIPELINE CO,29.56687,-98.12972,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,15.0,0.0,6.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,29.568044,-98.128264,0.97,nearest_street,425,Gembler Rd,,,Marion,TX,Guadalupe County,78124,US,TIGER/Line® dataset from the US Census Bureau,9.0,1
2686,2014,PHILLIPS 66 PIPELINE LLC,35.265278,-101.890833,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.0,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,35.265515,-101.89107,1.0,rooftop,4300,Cliffside Rd,,,Amarillo,TX,Potter County,79124,US,Potter,1.0,1
2694,2014,KINDER MORGAN CRUDE AND CONDENSATE LLC,28.928655,-97.786325,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.95,0.0,0.95,NO,,NO,,NO,,OTHER,,28.925825,-97.785496,0.96,nearest_street,5164,N FM 81st Rd,,,Runge,TX,Karnes County,78151,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2695,2014,ENTERPRISE CRUDE PIPELINE LLC,29.760156,-96.148478,CRUDE OIL,0.2,0.0,0.2,NO,,NO,,NO,CARBON STEEL,OVERFILL OR OVERFLOW,,29.759692,-96.149192,0.99,rooftop,2361,W Front St,,,Sealy,TX,Austin County,77474,US,Austin,0.0,1
2697,2014,KINDER MORGAN WINK PIPELINE LP,31.8015,-103.79673,CRUDE OIL,17.1,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,31.8015,-103.79673,0.07,nearest_place,,,,,Orla,TX,Loving County,79770,US,TIGER/Line® dataset from the US Census Bureau,17.1,1
2700,2014,ENTERPRISE CRUDE PIPELINE LLC,28.94921,-95.429876,CRUDE OIL,5.0,0.0,5.0,NO,,NO,,NO,CARBON STEEL,OVERFILL OR OVERFLOW,,28.962584,-95.417982,0.89,nearest_street,666,Bullard St,,,Freeport,TX,Brazoria County,77541,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2708,2014,ENTERPRISE CRUDE PIPELINE LLC,33.923171,-97.720683,CRUDE OIL,2.0,0.0,2.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,33.922175,-97.721346,0.99,rooftop,11155,Farm To Market Rd 103,,,Nocona,TX,Montague County,76255,US,Montague,0.0,1
2713,2014,ENTERPRISE CRUDE PIPELINE LLC,29.34525,-94.935183,CRUDE OIL,2.0,0.0,2.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,29.34525,-94.935183,0.22,nearest_place,,,,,Texas City,TX,Galveston County,77590,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2716,2014,ENTERPRISE CRUDE PIPELINE LLC,28.949448,-95.430748,CRUDE OIL,0.1,0.0,0.1,NO,,NO,,NO,CARBON STEEL,OTHER,,28.949448,-95.430748,0.25,nearest_place,,,,,Jones Creek,TX,Brazoria County,77541,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2718,2014,ENTERPRISE PRODUCTS OPERATING LLC,28.69666,-96.55023,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.93,167.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,PINHOLE,28.69666,-96.55023,0.38,nearest_place,,,,,Point Comfort,TX,Calhoun County,77978,US,TIGER/Line® dataset from the US Census Bureau,167.93,1
2724,2014,"MAGELLAN TERMINALS HOLDINGS, LP",29.79114,-95.27918,CRUDE OIL,0.2,0.0,0.2,NO,,NO,,NO,,LEAK,PINHOLE,29.78979,-95.278419,0.99,rooftop,8484,Wallisville St,,,Houston,TX,Harris County,77028,US,City of Houston,0.0,1
2726,2014,SUNOCO PIPELINE L.P.,29.99447,-93.99172,CRUDE OIL,0.71,0.0,0.0,NO,,NO,,YES,,LEAK,SEAL OR PACKING,29.987979,-93.982982,0.92,nearest_street,560,Gage Ave,,,Nederland,TX,Jefferson County,77627,US,TIGER/Line® dataset from the US Census Bureau,0.71,1
2727,2014,"MAGELLAN TERMINALS HOLDINGS, LP",27.80859,-97.43599,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.36,0.0,0.35,NO,,NO,,YES,,LEAK,PINHOLE,27.808483,-97.436028,1.0,rooftop,4540,Tribble Ln,,,Corpus Christi,TX,Nueces County,78407,US,Nueces,0.010000000000000009,1
2735,2014,"MAGELLAN PIPELINE COMPANY, LP",31.81685,-106.20994,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,6.0,0.0,5.0,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,31.814515,-106.209237,0.98,nearest_street,,US 62,,,El Paso,TX,El Paso County,79938,US,TIGER/Line® dataset from the US Census Bureau,1.0,1
2741,2014,ENTERPRISE CRUDE PIPELINE LLC,32.02424,-102.013347,CRUDE OIL,4.0,0.0,4.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,32.027201,-102.013824,0.95,nearest_street,4857,I-20e Bus,,,Midland,TX,Midland County,79706,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2744,2014,PHILLIPS 66 PIPELINE LLC,36.472798,-102.268817,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.28,3.3,0.0,NO,,NO,,NO,,LEAK,SEAL OR PACKING,36.472707,-102.26853,1.0,rooftop,4455,K O Ln,,,Kerrick,TX,Dallam County,79051,US,Dallam,3.58,1
2745,2014,ENTERPRISE PRODUCTS OPERATING LLC,29.765783,-95.011627,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.2,0.0,0.2,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,OTHER,29.766044,-95.011795,1.0,rooftop,4227,Decker Dr,,,Baytown,TX,Harris County,77520,US,City of Houston,0.0,1
2750,2014,"MAGELLAN TERMINALS HOLDINGS, LP",29.752401,-95.207068,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.71,0.0,0.71,NO,,NO,,NO,,LEAK,CONNECTION FAILURE,29.751759,-95.212773,0.94,nearest_street,2064,Federal Rd,,,Houston,TX,Harris County,77015,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2751,2014,"ONEOK NGL PIPELINE, LLC",30.737681,-95.340804,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,14.0,2.3,0.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,30.737764,-95.340993,1.0,rooftop,2829,US 190,,,Oakhurst,TX,Walker County,77359,US,Statewide Partial,16.3,1
2755,2014,TC OIL PIPELINE OPERATIONS INC,29.991106,-93.993675,CRUDE OIL,1.0,0.0,1.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,29.983909,-93.991624,0.93,nearest_street,800,Helena Ave,,,Nederland,TX,Jefferson County,77627,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
2760,2014,COLONIAL PIPELINE CO,29.97507,-94.05649,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.7,0.0,0.7,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,OTHER,,29.974613,-94.054941,0.99,rooftop,14713,W Port Arthur Rd,,,Beaumont,TX,Jefferson County,77705,US,Jefferson,0.0,1
2763,2014,CENTURION PIPELINE L.P.,32.86467,-102.914893,CRUDE OIL,800.0,0.0,600.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CRACK,32.86467,-102.914893,0.03,nearest_place,,,,,Seminole,TX,Gaines County,79360,US,TIGER/Line® dataset from the US Census Bureau,200.0,1
