,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill,incident_count
3030,2013,ENTERPRISE PRODUCTS OPERATING LLC,29.68112,-95.01403,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,716.0,716.0,0.0,NO,,NO,,YES,CARBON STEEL,OTHER,,29.679686,-95.019573,0.94,nearest_street,1233,N Broadway St,,,La Porte,TX,Harris County,77571,US,TIGER/Line® dataset from the US Census Bureau,1432.0,1
3032,2013,"MAGELLAN TERMINALS HOLDINGS, LP",29.75023,-95.28087,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,3.0,0.0,3.0,NO,,NO,,YES,,LEAK,SEAL OR PACKING,29.749412,-95.280954,0.99,rooftop,8230,Stedman St,,,Houston,TX,Harris County,77029,US,Harris,0.0,1
3035,2013,SUNOCO PIPELINE L.P.,29.787397,-94.40137,CRUDE OIL,0.24,0.0,0.24,NO,,NO,,NO,,LEAK,OTHER,29.786026,-94.400478,0.99,rooftop,1738,Hamilton Rd,,,Winnie,TX,Chambers County,77665,US,Chambers,0.0,1
3045,2013,"PLAINS PIPELINE, L.P.",33.31601,-96.19278,CRUDE OIL,20.0,0.0,20.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,33.328992,-96.190806,0.9,nearest_street,6501,County Rd 1048,,,Celeste,TX,Hunt County,75423,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
3047,2013,"MAGELLAN TERMINALS HOLDINGS, LP",29.75023,-95.20624,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.71,0.0,0.71,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,29.750176,-95.212689,0.94,nearest_street,2156,Federal Rd,,,Houston,TX,Harris County,77015,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
3053,2013,"KOCH PIPELINE COMPANY, L.P.",27.839803,-97.531604,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.18,0.0,0.18,NO,,NO,,YES,,LEAK,SEAL OR PACKING,27.832556,-97.535038,0.93,nearest_street,2722,Tecolote Rd,,,Corpus Christi,TX,Nueces County,78409,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
3054,2013,SUNOCO PIPELINE L.P.,29.787397,-94.40137,CRUDE OIL,0.24,0.0,0.24,NO,,NO,,YES,,LEAK,OTHER,29.786026,-94.400478,0.99,rooftop,1738,Hamilton Rd,,,Winnie,TX,Chambers County,77665,US,Chambers,0.0,1
3056,2013,"KOCH PIPELINE COMPANY, L.P.",27.831131,-97.518106,CRUDE OIL,0.22,0.0,0.22,NO,,NO,,YES,,LEAK,SEAL OR PACKING,27.830832,-97.51769,1.0,rooftop,2610,Suntide Rd,,,Corpus Christi,TX,Nueces County,78409,US,Nueces,0.0,1
3058,2013,PHILLIPS 66 PIPELINE LLC,33.828281,-98.638347,CRUDE OIL,160.0,0.0,160.0,NO,,NO,,,CARBON STEEL,LEAK,CRACK,33.828281,-98.638347,0.11,nearest_place,,,,,Wichita Falls,TX,Archer County,76310,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
3068,2013,CHEVRON PIPE LINE CO,32.108042,-96.94382,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,4357.0,3473.0,0.0,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,32.102444,-96.940289,0.93,nearest_street,4359,Farm To Market Rd 308,,,Milford,TX,Ellis County,76670,US,TIGER/Line® dataset from the US Census Bureau,7830.0,1
3070,2013,SUNOCO PIPELINE L.P.,31.15903,-94.67588,CRUDE OIL,1.0,0.0,0.0,NO,,NO,,,,LEAK,SEAL OR PACKING,31.16025,-94.675953,0.99,rooftop,6796,Farm To Market Rd 1818,,,Diboll,TX,Angelina County,75941,US,Angelina,1.0,1
3074,2013,"PLAINS PIPELINE, L.P.",33.22973,-96.06001,CRUDE OIL,10.0,0.0,10.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,33.230131,-96.059469,1.0,rooftop,5669,Farm To Market Rd 118,,,Greenville,TX,Hunt County,75401,US,Hunt,0.0,1
3075,2013,MOBIL CORP,30.13945,-94.604717,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1.2,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,30.13945,-94.604717,0.22,nearest_place,,,,,Hull,TX,Hardin County,77564,US,TIGER/Line® dataset from the US Census Bureau,1.2,1
3076,2013,EXPLORER PIPELINE CO,29.81987246,-95.18024582,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.5,0.0,0.5,NO,,NO,,NO,,LEAK,SEAL OR PACKING,29.819359,-95.180126,1.0,rooftop,14507,Brackenhurst Ln,,,Houston,TX,Harris County,77049,US,Greater Houston,0.0,1
3084,2013,"KOCH PIPELINE COMPANY, L.P.",29.92317489,-97.1231789,CRUDE OIL,400.0,0.0,393.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,29.924528,-97.124142,0.99,rooftop,6538,Vista Ranch Rd,,,Smithville,TX,Fayette County,78957,US,Fayette,7.0,1
3086,2013,"SHELL PIPELINE CO., L.P.",29.89936,-93.955483,CRUDE OIL,0.24,0.0,0.24,NO,,NO,,NO,,LEAK,CONNECTION FAILURE,29.90672,-93.945359,0.91,nearest_street,2601,31st St,,,Port Arthur,TX,Jefferson County,77640,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
3087,2013,ENERGY TRANSFER COMPANY,32.36876,-99.65356,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,8.0,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,32.370384,-99.651114,0.96,nearest_street,1052,E State Hwy 36,,,Abilene,TX,Taylor County,79602,US,TIGER/Line® dataset from the US Census Bureau,8.0,1
3088,2013,"PLAINS PIPELINE, L.P.",28.5088889,-99.2227778,CRUDE OIL,0.48,0.0,0.48,NO,,NO,,YES,,LEAK,CONNECTION FAILURE,28.512282,-99.215305,0.93,nearest_street,326,Williams St,,,Cotulla,TX,La Salle County,78014,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
3090,2013,KINDER MORGAN WINK PIPELINE LP,31.76976,-103.1764,CRUDE OIL,1.75,0.0,0.5,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,31.76976,-103.1764,0.32,nearest_place,,,,,Wink,TX,Winkler County,79789,US,TIGER/Line® dataset from the US Census Bureau,1.25,1
3092,2013,PHILLIPS 66 PIPELINE LLC,29.717115,-95.17842,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.76,0.0,0.76,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,29.716136,-95.178827,0.99,rooftop,100,Jefferson Rd,,,Pasadena,TX,Harris County,77506,US,City of Houston,0.0,1
3094,2013,EXPLORER PIPELINE CO,33.03568558,-96.20079871,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.8,0.0,0.8,NO,,NO,,NO,,LEAK,PINHOLE,33.034985,-96.200739,1.0,rooftop,2844,County Rd 2168,,,Caddo Mills,TX,Hunt County,75135,US,Hunt,0.0,1
