,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill,incident_count
492,2019,"DELEK MARKETING AND SUPPLY, LP",32.30354,-101.46212,CRUDE OIL,3.0,0.0,2.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,32.302728,-101.462068,0.99,rooftop,407,Davis,,,Big Spring,TX,Howard County,79720,US,Howard,1.0,1
493,2019,PHILLIPS 66 PIPELINE LLC,34.988758,-101.815631,CRUDE OIL,2.0,0.0,2.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,34.980985,-101.811941,0.92,nearest_street,22425,S Osage St,,,Canyon,TX,Randall County,79015,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
501,2019,EXPLORER PIPELINE CO,29.717309,-95.180245,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.4,0.0,0.4,NO,,NO,,NO,CARBON STEEL,OVERFILL OR OVERFLOW,,29.717351,-95.181606,0.99,rooftop,300,Jefferson Rd,,,Pasadena,TX,Harris County,77506,US,Greater Houston,0.0,1
503,2019,ENTERPRISE PRODUCTS OPERATING LLC,35.5704,-101.1243,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,5.0,3.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,OTHER,,35.570424,-101.124667,1.0,rooftop,2637,County Rd Cc,,,Skellytown,TX,Carson County,79080,US,Carson,8.0,1
510,2019,"KINDER MORGAN LIQUID TERMINALS, LLC",29.731335,-95.200409,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,55.0,0.0,55.0,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,29.730995,-95.203519,0.96,nearest_street,1489,N Witter St,,,Pasadena,TX,Harris County,77506,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
511,2019,COLONIAL PIPELINE CO,29.89,-93.999,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,12.7,0.0,12.7,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,29.890919,-93.998869,0.99,rooftop,6032,Pine Ave,,,Port Arthur,TX,Jefferson County,77640,US,Jefferson,0.0,1
515,2019,"KINDER MORGAN LIQUID TERMINALS, LLC",29.723625,-95.201699,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.1,0.0,0.1,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,29.723539,-95.203426,0.97,nearest_street,1201,N Witter St,,,Pasadena,TX,Harris County,77506,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
518,2019,DCP MIDSTREAM,29.34572,-100.562198,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.1,0.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,OTHER,,29.34572,-100.562198,0.06,nearest_place,,,,,Brackettville,TX,Kinney County,78832,US,TIGER/Line® dataset from the US Census Bureau,0.1,1
520,2019,KINDER MORGAN WINK PIPELINE LLC,31.8029,-103.81378,CRUDE OIL,8.5,0.0,4.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,31.803082,-103.813685,1.0,rooftop,3391,County Rd 441,,,Pecos,TX,Reeves County,79772,US,Reeves,4.5,1
522,2019,SOUTHCROSS NGL PIPELINE LTD.,27.889343,-97.263307,CRUDE OIL,1029.0,0.0,1029.0,NO,,NO,,NO,CARBON STEEL,OTHER,,27.886939,-97.27463,0.92,nearest_street,1024,Pvt Rd 87A,,,Portland,TX,San Patricio County,78374,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
523,2019,SUNOCO PARTNERS MARKETING & TERMINALS LP,29.997984,-93.990191,CRUDE OIL,15.0,0.0,15.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,29.987979,-93.982982,0.91,nearest_street,560,Gage Ave,,,Nederland,TX,Jefferson County,77627,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
526,2019,PHILLIPS 66 PIPELINE LLC,33.32812,-98.959715,CRUDE OIL,40.0,0.0,40.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,33.32812,-98.959715,0.06,nearest_place,,,,,Megargel,TX,Throckmorton County,76370,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
529,2019,DCP MIDSTREAM,29.08966,-96.62664,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.1,0.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,OTHER,,29.089714,-96.626543,1.0,rooftop,6590,Farm To Market Rd 530,,,Edna,TX,Jackson County,77957,US,Jackson,0.1,1
