,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill,incident_count
4141,2010,"PLAINS PIPELINE, L.P.",32.00836,-102.0054,CRUDE OIL,125.0,0.0,125.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,32.010068,-102.006809,0.99,nearest_street,,I 20,,,Midland,TX,Midland County,79706,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
4145,2010,"OILTANKING, HOUSTON LP",29.76713,-95.156254,CRUDE OIL,0.48,0.0,0.0,NO,,NO,,NO,,LEAK,PINHOLE,29.767404,-95.155593,1.0,rooftop,14800,Talcott St,,,Houston,TX,Harris County,77015,US,Harris,0.48,1
4146,2010,ONEOK NGL PIPELINE LP,33.45494,-96.35925,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,7.0,35.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,33.45494,-96.35925,0.25,nearest_place,,,,,Orangeville,TX,Fannin County,75491,US,TIGER/Line® dataset from the US Census Bureau,42.0,1
4149,2010,EXXONMOBIL PIPELINE CO,29.349,-94.939333,CRUDE OIL,0.67,0.0,0.67,NO,,NO,,YES,,LEAK,SEAL OR PACKING,29.349,-94.939333,0.23,nearest_place,,,,,Texas City,TX,Galveston County,77590,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
4154,2010,"ROADRUNNER PIPELINE, L.L.C.",33.407,-102.448,CRUDE OIL,1.0,0.0,0.0,NO,,NO,,YES,,OTHER,,33.407023,-102.448939,0.99,rooftop,3194,W FM 41,,,Levelland,TX,Hockley County,79336,US,Hockley,1.0,1
4164,2010,EXPLORER PIPELINE CO,29.90087416,-94.00565624,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.0,0.0,2.0,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,29.899599,-94.008058,0.96,nearest_street,2100,61st St,,,Port Arthur,TX,Jefferson County,77640,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
4168,2010,UNOCAL PIPELINE CO - EASTERN REGION,32.540604,-95.701173,CRUDE OIL,3.0,0.0,3.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,32.539338,-95.699028,0.96,nearest_street,4771,Farm To Market Rd 773,,,Canton,TX,Van Zandt County,75103,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
4174,2010,"PLAINS PIPELINE, L.P.",32.532127,-100.842157,CRUDE OIL,6.0,0.0,6.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,32.532311,-100.842904,1.0,rooftop,2590,County Rd 4156,,,Hermleigh,TX,Scurry County,79526,US,Scurry,0.0,1
4175,2010,SUNOCO PIPELINE L.P.,30.81167,-94.76787,CRUDE OIL,75.0,0.0,30.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,30.81155,-94.768946,0.99,rooftop,1344,Ferguson Rd,,,Livingston,TX,Polk County,77351,US,Polk,45.0,1
4176,2010,CONOCOPHILLIPS,33.936233,-98.496906,CRUDE OIL,0.83,0.0,0.83,NO,,NO,,NO,,LEAK,PINHOLE,33.937605,-98.495224,0.96,nearest_street,220,Sinclair Blvd,,,Wichita Falls,TX,Wichita County,76306,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
