,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill,incident_count
876,2018,DCP MIDSTREAM,29.34572,-100.562198,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1677.0,0.0,0.0,NO,,NO,,NO,CARBON STEEL,OTHER,,29.34572,-100.562198,0.06,nearest_place,,,,,Brackettville,TX,Kinney County,78832,US,TIGER/Line® dataset from the US Census Bureau,1677.0,1
879,2018,"PLAINS PIPELINE, L.P.",31.634409,-101.708221,CRUDE OIL,30.0,0.0,30.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,31.641351,-101.702299,0.92,nearest_street,698,Tank Farm Rd,,,Garden City,TX,Reagan County,79739,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
880,2018,ENTERPRISE CRUDE PIPELINE LLC,29.7479,-95.1294,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.29,0.0,0.29,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,29.750781,-95.129083,0.96,nearest_street,15706,San Jacinto Blvd,,,Houston,TX,Harris County,77015,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
881,2018,DCP MIDSTREAM,31.226872,-101.62194,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.21,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,31.226937,-101.621678,1.0,rooftop,205,N Best Ln,,,Big Lake,TX,Reagan County,76932,US,Reagan,0.21,1
883,2018,"MAGELLAN CRUDE OIL PIPELINE COMPANY, L.P.",29.790949,-95.281395,CRUDE OIL,1000.0,0.0,968.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,29.789355,-95.281822,0.97,nearest_street,8220,Wallisville Rd,,,Houston,TX,Harris County,77029,US,TIGER/Line® dataset from the US Census Bureau,32.0,1
884,2018,SUNOCO PARTNERS MARKETING & TERMINALS LP,29.9967,-93.99765,CRUDE OIL,15.0,0.0,15.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,29.987996,-94.004449,0.91,nearest_street,2280,State Hwy 347,,,Nederland,TX,Jefferson County,77627,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
885,2018,SUNOCO PARTNERS MARKETING & TERMINALS LP,29.997016,-93.992067,CRUDE OIL,4.0,0.0,4.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,29.987979,-93.982982,0.91,nearest_street,560,Gage Ave,,,Nederland,TX,Jefferson County,77627,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
886,2018,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",33.254624,-99.200001,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,5.0,0.0,0.5,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,33.25429,-99.200291,1.0,rooftop,154,County Rd 120,,,Throckmorton,TX,Throckmorton County,76483,US,Throckmorton,4.5,1
887,2018,ENTERPRISE CRUDE PIPELINE LLC,31.5267,-103.559,CRUDE OIL,1.43,0.0,1.43,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,OTHER,,31.526181,-103.560607,0.99,nearest_street,,US 285,,,Pecos,TX,Reeves County,79772,US,TIGER/Line® dataset from the US Census Bureau,0.0,1
889,2018,"WESTERN REFINING LOGISTICS, LP",31.932,-103.5153,CRUDE OIL,1.5,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,31.932,-103.5153,0.05,nearest_place,,,,,Mentone,TX,Loving County,79754,US,TIGER/Line® dataset from the US Census Bureau,1.5,1
